,ИдДок,ДатаДок,ДатаОтч,10100,20200,20300,30100,30200,30300,40100,50000
0,8600*****************202100000618,01.10.2021,16.11.2021,10,71887000,18210501011010000110,0,0,0,0,0
1,8600*****************202100000619,01.10.2021,16.11.2021,10,71874000,18210101012020000110,0,0,0,0,10469.89
2,8600*****************202100000619,01.10.2021,16.11.2021,10,71874000,18210501021010000110,763084.65,0,0,1545270.14,0
3,8600*****************202100000619,01.10.2021,16.11.2021,10,71874000,18210604011020000110,43173.25,0,0,120696.26,0
4,8600*****************202100000619,01.10.2021,16.11.2021,10,71874000,18210602010020000110,21325.42,0,0,56951.4,0
5,8600*****************202100000619,01.10.2021,16.11.2021,10,71874000,18211610129010000140,0,0,0,1943.76,0
6,8600*****************202100000620,01.10.2021,16.11.2021,10,71879000,18210501011010000110,0,0,0,0,0
7,8600*****************202100000621,01.10.2021,16.11.2021,10,71887000,18210102010010000110,0,0,0,0,0
8,8600*****************202100000622,01.10.2021,16.11.2021,10,71874000,18210102010010000110,1641689.46,0,0,11144801.5,0
9,8600*****************202100000623,01.10.2021,16.11.2021,10,71878000,18210102010010000110,0,0,0,310.26,0
10,8600*****************202100000624,01.10.2021,16.11.2021,10,71829432,18210102010010000110,0,0,0,0,1904.22
11,8600*****************202100000624,01.10.2021,16.11.2021,10,71873000,18210102010010000110,63.46,0,0,0,0
12,8600*****************202100000625,01.10.2021,16.11.2021,10,71887000,18210501011010000110,0,0,0,0,0
13,8600*****************202100000626,01.10.2021,16.11.2021,10,71871000,18210502020020000110,0,0,0,0,4.52
14,8600*****************202100000626,01.10.2021,16.11.2021,10,71871000,18210504010020000110,0,0,0,0,10269.09
15,8600*****************202100000626,01.10.2021,16.11.2021,10,71878000,18210501011010000110,0,0,0,820.88,0
16,8600*****************202100000626,01.10.2021,16.11.2021,10,71879000,18210504010020000110,7109.05,0,0,7109.05,0
17,8600*****************202100000627,01.10.2021,16.11.2021,10,71876000,18210102020010000110,0,0,0,0,0
18,8600*****************202100000628,01.10.2021,16.11.2021,0,71875000,18210807010010000110,0,0,0,0,0
19,8600*****************202100000629,01.10.2021,16.11.2021,10,71811000,18211610129010000140,0,0,0,0,0
20,8600*****************202100000630,01.10.2021,16.11.2021,10,71884000,18210102010010000110,0,0,0,0,0
21,8600*****************202100000631,01.10.2021,16.11.2021,10,71811000,18210504020020000110,12641.2,3593.94,153.43,0,522.03
22,8600*****************202100000631,01.10.2021,16.11.2021,10,71819153,18210504020020000110,3741.25,3741.25,0,0,0
23,8600*****************202100000631,01.10.2021,16.11.2021,10,71819153,18210501021010000110,0,500.0,0,0,500.0
24,8600*****************202100000631,01.10.2021,16.11.2021,10,71819153,18210502010020000110,987.0,860.68,843.6,0,1334.21
25,8600*****************202100000631,01.10.2021,16.11.2021,10,71819153,18210501011010000110,0,84153.0,0,0,84153.0
26,8600*****************202100000631,01.10.2021,16.11.2021,10,71819000,18210504020020000110,2740.67,0,0,2740.67,0
27,8600*****************202100000631,01.10.2021,16.11.2021,10,71819412,18210502010020000110,0,0,0,0,691.0
28,8600*****************202100000631,01.10.2021,16.11.2021,10,71821436,18210501021010000110,13444.23,1330.0,145.46,12717.56,0
29,8600*****************202100000631,01.10.2021,16.11.2021,10,71821436,18210504020020000110,41559.74,11288.51,0,127.83,0
30,8600*****************202100000631,01.10.2021,16.11.2021,10,71824000,18210504020020000110,9891.0,29672.0,0,0,19781.0
31,8600*****************202100000631,01.10.2021,16.11.2021,10,71824157,18210102020010000110,357044.89,373309.89,0,0,16265.0
32,8600*****************202100000631,01.10.2021,16.11.2021,10,71824157,18210501021010000110,0,210749.0,0,0,210749.0
33,8600*****************202100000631,01.10.2021,16.11.2021,10,71824157,18210502010020000110,20761.0,11369.0,0,0,4781.15
34,8600*****************202100000631,01.10.2021,16.11.2021,10,71826407,18210501011010000110,181835.9,192293.7,4695.19,0,5762.61
35,8600*****************202100000631,01.10.2021,16.11.2021,10,71826165,18210504020020000110,2132.0,6395.0,0,0,4263.0
36,8600*****************202100000631,01.10.2021,16.11.2021,10,71871000,18210504010020000110,1711.71,0,0,1711.71,0
37,8600*****************202100000631,01.10.2021,16.11.2021,10,71874000,18210504010020000110,60402.28,0,0,3293.28,0
38,8600*****************202100000631,01.10.2021,16.11.2021,10,71875000,18210504010020000110,5866.81,5866.81,0,0,0
39,8600*****************202100000631,01.10.2021,16.11.2021,10,71875000,18210501011010000110,13387.0,9362.72,0,0,22976.46
40,8600*****************202100000631,01.10.2021,16.11.2021,10,71876000,18210504010020000110,141947.0,55438.27,0,0.73,80112.53
41,8600*****************202100000631,01.10.2021,16.11.2021,10,71876000,18210501021010000110,0,8356.0,0,0,8356.0
42,8600*****************202100000631,01.10.2021,16.11.2021,10,71876000,18210102020010000110,0,850.0,0,0,850.0
43,8600*****************202100000631,01.10.2021,16.11.2021,10,71878000,18210501022010000110,0,0,0,0,39.0
44,8600*****************202100000631,01.10.2021,16.11.2021,10,71878000,18210504010020000110,16325.42,3567.0,0,22.42,0
